version,doi,B_COUNTRY,B_COUNTRY_ALPHA,C_COW_NUM,C_COW_ALPHA,A_YEAR,D_INTERVIEW,J_INTDATE,FW_END,FW_START,K_TIME_START,K_TIME_END,K_DURATION,Q_MODE,N_REGION_ISO,N_REGION_WVS,N_TOWN,G_TOWNSIZE,G_TOWNSIZE2,H_SETTLEMENT,H_URBRURAL,I_PSU,O1_LONGITUDE,O2_LATITUDE,S_INTLANGUAGE,LNGE_ISO,E_RESPINT,F_INTPRIVACY,E1_LITERACY,W_WEIGHT,S018,PWGHT,Y001,Y002,Y003,SACSECVAL,SACSECVALB,RESEMAVAL,RESEMAVALB,I_AUTHORITY,I_NATIONALISM,I_DEVOUT,DEFIANCE,I_RELIGIMP,I_RELIGBEL,I_RELIGPRAC,DISBELIEF,I_NORM1,I_NORM2,I_NORM3,RELATIVISM,I_TRUSTARMY,I_TRUSTPOLICE,I_TRUSTCOURTS,SCEPTICISM,I_INDEP,I_IMAGIN,I_NONOBED,AUTONOMY,I_WOMJOB,I_WOMPOL,I_WOMEDU,EQUALITY,I_HOMOLIB,I_ABORTLIB,I_DIVORLIB,CHOICE,I_VOICE1,I_VOICE2,I_VOI2_00,VOICE,SECVALWGT,WEIGHT1A,WEIGHT1B,WEIGHT2A,WEIGHT2B,WEIGHT3A,WEIGHT3B,WEIGHT4A,WEIGHT4B,RESEMAVALBWGT,RESEMAVALWGT,SECVALBWGT,Y001_1,Y001_2,Y001_3,Y001_4,Y001_5
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071050,20200402,202004,202003,12.1,14.4,150,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,1,1,1,0.6671114,3.81588,1,1,0,0.360833,0.221667,0.17537,0.184074,1,0,0.33,0.443333,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.333333,0,0.33,0.33,0.22,0,0,0.444444,0.148148,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071167,20200402,202004,202003,13.59,15.4,101,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,2,1,1,0.6671114,3.81588,3,2,-1,0.097222,0.194444,0.338333,0.261667,0.5,0,0,0.166667,0,0,0.666667,0.222222,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.66,0.66,0.523333,0,0,0,0,0.66,1,0.83,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071402,20200404,202004,202003,20.02,21.14,72,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,2,1,1,0.6671114,3.81588,1,1,2,0.082778,0.110556,0.27,0.206667,0,0,0.33,0.11,0,0,0.333333,0.111111,0,0,0,0,0,0.33,0,0.11,1,0,1,0.666667,0.25,0.66,0.33,0.413333,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071621,20200402,202004,202003,15.27,18,153,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,2,1,1,0.6671114,3.81588,2,2,-1,0.055556,0.111111,0.265509,0.281852,0.5,0,0,0.166667,0,0,0.166667,0.055556,0,0,0,0,0,0,0,0,0,0,1,0.333333,0.25,0.33,1,0.526667,0,0,0.111111,0.037037,0.33,0,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071734,20200404,202004,202003,18.02,19.29,87,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,2,2,1,1,0.6671114,3.81588,4,2,0,0.248611,0.110556,0.396898,0.29463,0,0,0.33,0.11,0,0,0.333333,0.111111,1,0,0,0.333333,0,0.66,0.66,0.44,1,0,0,0.333333,0,0.33,0.66,0.33,0,0.222222,0.555556,0.259259,0.33,1,0.665,0.665,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071825,20200404,202004,202003,14.12,15.39,87,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,2,1,1,1,0.6671114,3.81588,2,2,2,0.193611,0.165556,0.389537,0.280741,0,0,0.33,0.11,0.33,0,0.333333,0.221111,0,0,0,0,0,1,0.33,0.443333,1,0,1,0.666667,0.25,0.66,0.33,0.413333,0,0,0.444444,0.148148,0.66,0,0.33,0.33,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071984,20200402,202004,202003,18.18,19.45,87,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,2,1,1,0.6671114,3.81588,-2,2,-2,0.013889,0.027778,0.124583,0,0,0,0,0,0,0,0.166667,0.055556,0,0,0,0,0,0,0,0,0,1,0,0.333333,0,0,0,0,0,0,0,0,0.33,0,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,-2,-2
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072179,20200404,202004,202003,16.29,17.54,85,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,1,1,1,0.6671114,3.81588,2,2,0,0.138333,0.221667,0.375648,0.586296,0,0,0.33,0.11,0,0,1,0.333333,0,0,0,0,0,0.33,0,0.11,0,0,0,0,0.75,0.33,0.66,0.58,0,0.777778,1,0.592593,0.66,0,0.33,0.33,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072207,20200404,202004,202003,13.15,14.23,68,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,1,1,1,0.6671114,3.81588,3,2,-1,0.318056,0.192778,0.359167,0.261667,0,0,0.33,0.11,0.66,0,0.166667,0.275556,1,1,0,0.666667,0.33,0.33,0,0.22,0,1,0,0.333333,0.25,0.66,0.66,0.523333,0,0,0,0,0.66,0.5,0.58,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072709,20200404,202004,202003,11.36,13.12,96,2,364011,364024,364003,6,3,3,1,11717,49.24,36.15,3490,fa,1,1,1,1,0.6671114,3.81588,0,1,-1,0,0,0.159167,0.151667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333,0.25,0.33,0.33,0.303333,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
